id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.201437,8507571419,15,10075863248,565991186,0.202903,0.184606,0.01683074,9.11709,479075453.0,5.96719,42217580818.55675,50000000000.0,50000000000.0,0.569229,-64.69178,2021-09-15T10:40:28.318Z,0.00986111,1938.15412,2020-01-02T17:30:24.852Z,0.0,2025-03-12T01:45:30.500Z,0.0,0.0,0.0
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,13.3,8381939998,16,13135778697,906616846,13.6,12.39,0.894253,7.20727,292912303.0,3.62111,638099970.4505637,1000000000.0,1000000000.0,52.7,-74.84416,2021-05-10T00:13:57.214Z,0.148183,8845.86661,2017-11-29T00:00:00.000Z,0.0,2025-03-12T01:45:30.647Z,0.0,0.0,0.0
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.999084,8177607172,17,8177607172,44744650,1.003,0.996975,-0.000744996308661316,-0.07451,20720920.0,0.25403,8184792624.241108,8184792624.241108,,1.057,-5.44456,2024-10-29T05:40:51.197Z,0.948265,5.42997,2024-10-03T13:19:28.826Z,0.0,2025-03-12T01:45:11.633Z,0.0,0.0,0.0
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,2292.62,7986258092,18,7986258092,48653446,2339.52,2185.55,107.07,4.899,189515228.0,2.4307,3483690.584377012,3483690.584377012,,7256.02,-68.39975,2022-05-13T15:09:54.509Z,558.54,310.52037,2022-05-13T01:36:45.053Z,0.0,2025-03-12T01:45:14.470Z,0.0,0.0,0.0
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.259855,7978598658,19,12988613610,260739743,0.261386,0.23954,0.02031515,8.48092,533446376.0,7.16502,30714917065.05278,50001786894.44301,50001786894.44301,0.875563,-70.37706,2018-01-03T00:00:00.000Z,0.00047612,54374.84242,2015-03-05T00:00:00.000Z,0.0,2025-03-12T01:45:10.788Z,0.0,0.0,0.0
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,17.59,7264047145,20,7906949265,596906627,17.88,15.81,1.78,11.242,491458996.0,7.25659,414322666.4053355,450992302.289375,720000000.0,144.96,-87.87049,2021-11-21T14:18:56.538Z,2.8,527.72888,2020-12-31T13:15:21.540Z,0.0,2025-03-12T01:45:25.415Z,0.0,0.0,0.0
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,2.27,7189047747,22,22679492653,1141726481,2.29,2.06,0.203023,9.83229,561165919.0,8.46675,3169845047.483887,10000000000.0,10000000000.0,5.35,-57.58121,2025-01-04T22:56:18.063Z,0.364846,521.6177,2023-10-19T10:40:30.078Z,0.0,2025-03-12T01:45:11.559Z,0.0,0.0,0.0
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.222e-05,7107059668,21,7110116599,293508033,1.226e-05,1.124e-05,9.52217e-07,8.44754,327449405.0,4.82991,589253496579189.5,589506949838519.1,,8.616e-05,-85.83043,2021-10-28T03:54:55.568Z,5.6366e-11,21658779.38064,2020-11-28T11:26:25.838Z,0.0,2025-03-12T01:45:10.310Z,0.0,0.0,0.0
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,91.2,6899231909,23,6899325992,778801400,93.02,86.34,4.87,5.63649,267817231.0,4.03861,75622751.98347135,75623783.23347135,84000000.0,410.26,-77.77762,2021-05-10T03:13:07.904Z,1.15,7835.77229,2015-01-14T00:00:00.000Z,0.0,2025-03-12T01:45:28.940Z,0.0,0.0,0.0
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,342.97,6799792087,24,6799801726,225153850,348.86,326.65,15.01,4.57538,226405698.0,3.44428,19840878.02165078,19840906.14665078,21000000.0,3785.82,-90.96238,2017-12-20T00:00:00.000Z,76.93,344.7249,2018-12-16T00:00:00.000Z,0.0,2025-03-12T01:45:28.554Z,0.0,0.0,0.0
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,2.67,6554367084,25,13537693778,222389325,2.73,2.45,0.221273,9.03173,295147271.0,4.7154,2481004678.760963,5124390078.519703,,8.25,-67.63974,2024-06-15T00:36:51.509Z,0.519364,414.2616,2021-09-21T00:33:11.092Z,0.0,2025-03-12T01:45:13.454Z,0.0,0.0,0.0
mantra-dao,om,MANTRA,https://coin-images.coingecko.com/coins/images/12151/large/OM_Token.png?1696511991,6.33,6159770658,26,11435127548,122188159,6.45,6.18,-0.0753518902018655,-1.17681,19517686.0,0.31786,975762967.0200001,1811438171.79,,8.99,-29.54109,2025-02-23T01:52:21.073Z,0.01726188,36576.13841,2023-10-12T17:25:09.068Z,0.0,2025-03-12T01:45:28.806Z,0.0,0.0,0.0
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,4.06,6159195811,27,6159195811,226047068,4.12,3.83,0.235049,6.13874,259501485.0,4.39856,1522267060.0,1522267060.0,,54.98,-92.61103,2021-11-04T14:10:09.301Z,2.7,50.60576,2020-08-20T05:48:11.359Z,0.0,2025-03-12T01:45:29.448Z,0.0,0.0,0.0
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.999424,5449330114,28,5449330114,65192251,1.0,0.998249,0.00068263,0.06835,-962178.0544843674,-0.01765,5453952524.243415,5453962516.742186,,1.032,-3.1809,2023-12-20T15:38:34.596Z,0.929486,7.50593,2024-10-04T07:57:15.809Z,0.0,2025-03-12T01:45:28.548Z,0.0,0.0,0.0
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,1920.27,5386970153,29,5389210191,1331719428,1956.97,1836.43,83.63,4.55356,79401998.0,1.49601,2806171.770642136,2807338.647686369,,4799.89,-60.0169,2021-11-09T00:00:00.000Z,82.1,2237.47433,2018-12-15T00:00:00.000Z,0.0,2025-03-12T01:45:27.251Z,0.0,0.0,0.0
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,0.999938,5196983083,30,5196983083,428161254,1.009,0.986435,0.01168956,1.18286,10471163.0,0.20189,5184994501.618546,5184994501.618546,,1.05,-4.82138,2024-08-05T14:21:42.527Z,0.942186,6.06595,2024-12-05T22:30:39.827Z,0.0,2025-03-12T01:45:27.859Z,0.0,0.0,0.0
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,4.21,5045972978,31,5045972978,296838638,4.24,3.89,0.283889,7.23831,345383598.0,7.34767,1199999994.2,1199999994.2,2000000000.0,8.45,-50.28928,2024-12-27T11:41:24.992Z,0.0142795,29317.80989,2020-06-25T04:17:05.895Z,0.0,2025-03-12T01:45:26.725Z,0.0,0.0,0.0
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,14.03,4684695609,32,14028916618,145778460,14.73,13.55,0.364573,2.66825,186282589.0,4.14107,333928180.0,999990391.0,1000000000.0,34.96,-59.97152,2024-12-22T03:56:00.276Z,3.81,267.40974,2024-11-29T09:30:30.871Z,0.0,2025-03-12T01:45:31.683Z,0.0,0.0,0.0
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,29.19,4206783173,33,9610129150,86729398,29.27,28.38,0.674169,2.36421,111688222.0,2.72737,144118517.10815412,329229605.0,400000000.0,31.28,-6.66885,2025-03-02T22:22:36.852Z,3.06,853.38512,2023-02-13T19:01:21.899Z,0.0,2025-03-12T01:45:11.835Z,0.0,0.0,0.0
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,2042.14,3946791581,34,3946791581,46110172,2081.65,1945.15,97.0,4.98666,86317568.0,2.23593,1932693.686265605,1931037.387228365,,4311.81,-52.74399,2024-12-06T20:32:25.758Z,1889.13,7.85858,2025-03-11T00:55:51.837Z,0.0,2025-03-12T01:45:12.492Z,0.0,0.0,0.0
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,211.4,3897896046,35,3897896046,58323829,213.2,199.41,9.92,4.92201,181354445.0,4.87966,18446744.07370955,18446744.07370955,,542.33,-61.07085,2018-01-09T00:00:00.000Z,0.216177,97562.13083,2015-01-14T00:00:00.000Z,0.0,2025-03-12T01:45:31.152Z,0.0,0.0,0.0
lombard-staked-btc,lbtc,Lombard Staked BTC,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,83251.0,3755516448,36,5808507232,5303013,83260.0,78509.0,4741.73,6.03969,219035129.0,6.19359,45120.46037559,69786.01320213,,114576.0,-27.4516,2025-02-04T01:47:44.052Z,52119.0,59.4855,2024-09-06T21:01:52.094Z,0.0,2025-03-12T01:45:29.113Z,0.0,0.0,0.0
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,6.08,3666725579,37,6106292983,260156453,6.23,5.72,0.321201,5.57943,118607525.0,3.34283,600483073.71,1000000000.0,1000000000.0,44.92,-86.47221,2021-05-03T05:25:04.822Z,1.03,489.84574,2020-09-17T01:20:38.214Z,0.0,2025-03-12T01:45:23.330Z,0.0,0.0,0.0
susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.043,3399311301,38,3399311301,2488699,1.046,1.039,-0.001840710385444089,-0.1762,58956493.0,1.76498,3261808011.296186,3261476580.167772,,1.088,-4.13451,2025-02-03T02:31:35.208Z,0.961716,8.44515,2025-01-04T01:21:08.460Z,0.0,2025-03-12T01:45:10.860Z,0.0,0.0,0.0
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.999703,3204819223,39,3204819223,123730498,1.0,0.999131,0.00022128,0.02214,19945848.0,0.62627,3206070524.335608,3206070524.335608,,1.22,-17.98591,2020-03-13T03:02:50.373Z,0.88196,13.34923,2023-03-11T07:50:50.514Z,0.0,2025-03-12T01:45:26.300Z,0.0,0.0,0.0
aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,5.32,3145395378,40,6092452813,248070790,5.64,5.15,0.17631,3.42452,76339159.0,2.48738,590565355.2042366,1143891666.133289,,19.92,-73.25808,2023-01-26T14:25:17.390Z,3.08,72.96916,2022-12-29T21:35:14.796Z,0.0,2025-03-12T01:45:26.741Z,0.0,0.0,0.0
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,2.49,2916594453,41,3037782834,252614754,2.55,2.27,0.220984,9.74207,192170550.0,7.05362,1190067605.0,1239516192.0,,20.44,-87.82847,2022-01-16T22:09:45.873Z,0.526762,372.24929,2020-11-04T16:09:15.137Z,0.0,2025-03-12T01:45:21.763Z,0.0,0.0,0.0
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,182.45,2748124194,42,2914195706,553320018,185.3,168.84,10.26,5.95891,18683890.0,0.68453,15088206.675429812,16000000.0,16000000.0,661.69,-72.45397,2021-05-18T21:19:59.514Z,26.02,600.4123,2020-11-05T09:20:11.928Z,0.0,2025-03-12T01:45:30.973Z,0.0,0.0,0.0
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,6.44e-06,2711409735,44,2711409735,975418114,6.49e-06,5.55e-06,8.9261e-07,16.08238,302350956.0,12.55058,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-77.21276,2024-12-09T16:30:35.828Z,5.5142e-08,11482.46654,2023-04-18T02:14:41.591Z,0.0,2025-03-12T01:45:29.585Z,0.0,0.0,0.0
ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,17.87,2701033706,43,2701043255,116672455,18.12,16.52,1.33,8.03032,151865424.0,5.95745,151080453.4293964,151080987.5093964,210700000.0,167.09,-89.30779,2021-05-06T18:34:22.133Z,0.615038,2804.71742,2016-07-25T00:00:00.000Z,0.0,2025-03-12T01:45:28.007Z,38.71771550471233,0.0,3871.7715504712332
ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,0.853756,2697571598,45,8539030639,220116109,0.851439,0.767269,0.086486,11.27198,201789187.0,8.08521,3159107529.0,10000000000.0,10000000000.0,2.14,-60.0927,2024-12-16T00:36:00.777Z,0.082171,939.39191,2024-01-18T12:14:30.524Z,0.0,2025-03-12T01:45:24.600Z,0.0,0.0,0.0
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,5.49,2609580581,46,2874519255,83372573,5.51,5.07,0.416145,8.20722,148721971.0,6.0435,481416039.2014026,530292048.1829401,,700.65,-99.21865,2021-05-10T16:05:53.653Z,2.87,91.08049,2023-09-22T00:29:57.369Z,0.0,2025-03-12T01:45:25.901Z,0.0,0.0,0.0
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,41.19,2469841336,47,9712967410,26931285,41.96,38.67,2.52,6.51772,26493890.0,1.08433,60000000.0,235957685.3,300000000.0,73.8,-44.24212,2024-03-14T00:30:12.502Z,0.580608,6987.60143,2019-01-14T00:00:00.000Z,0.0,2025-03-12T01:45:23.204Z,0.0,0.0,0.0
gatechain-token,gt,Gate,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,20.02,2464887237,48,6016293507,34781338,20.17,18.67,1.35,7.24291,141144276.0,6.07401,122910587.76765741,300000000.0,,25.94,-22.64928,2025-01-25T03:07:37.823Z,0.25754,7690.7563,2020-03-13T02:18:02.481Z,0.0,2025-03-12T01:45:28.717Z,0.0,0.0,0.0
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,83440.0,2447169915,49,2447169915,385848794,83421.0,78746.0,4694.08,5.96105,150306468.0,6.54399,29522.27949505,29522.27949505,,108953.0,-23.68474,2025-01-20T09:20:53.854Z,57439.0,44.75876,2024-09-12T14:07:41.775Z,0.0,2025-03-12T01:45:30.939Z,0.0,0.0,0.0
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,0.720193,2406346945,50,4447902920,85333048,0.720054,0.67818,0.03820085,5.60137,94293788.0,4.07836,3364694382.83684,6219316794.99,6219316794.99,1.54,-53.27232,2024-04-08T09:45:25.482Z,0.307978,133.46021,2023-10-18T02:50:46.942Z,0.0,2025-03-12T01:45:28.265Z,0.0,0.0,0.0
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,263.51,2228193096,52,5533829029,203128263,270.0,224.32,38.68,17.20636,319363025.0,16.73083,8455638.0,21000000.0,21000000.0,757.6,-65.19673,2024-03-07T18:45:36.466Z,30.83,755.24348,2023-05-14T08:57:53.732Z,0.0,2025-03-12T01:45:27.023Z,0.0,0.0,0.0
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.080455,2201571052,51,2412965012,40017251,0.08296,0.075581,0.00487403,6.44872,116357167.0,5.58011,27371773413.34449,30000000000.0,,0.965407,-91.69809,2021-11-24T15:53:54.855Z,0.0121196,561.30257,2019-02-08T00:00:00.000Z,0.0,2025-03-12T01:45:24.779Z,0.0,0.0,0.0
tokenize-xchange,tkx,Tokenize Xchange,https://coin-images.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1696505519,27.13,2172022496,53,2715163910,15044054,27.23,26.39,0.222316,0.82618,31603626.0,1.47652,79995999.05112354,100000000.0,100000000.0,50.43,-46.23508,2025-01-03T19:12:43.038Z,0.111255,24271.4394,2019-04-28T00:00:00.000Z,0.0,2025-03-12T01:45:10.992Z,92.39429509607893,0.0,9239.429509607893
official-trump,trump,Official Trump,https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561,10.61,2098997299,54,10494987692,771483828,10.86,10.01,0.503648,4.98331,41627628.0,2.02334,199999977.236,1000000000.0,1000000000.0,73.43,-85.62538,2025-01-19T11:50:34.806Z,4.29,146.0074,2025-01-18T03:40:29.231Z,0.0,2025-03-12T01:45:29.360Z,0.0,0.0,0.0
first-digital-usd,fdusd,First Digital USD,https://coin-images.coingecko.com/coins/images/31079/large/FDUSD_icon_black.png?1731097953,0.999007,2084107161,55,2084107161,7933468940,1.011,0.988316,-0.000416367146546692,-0.04166,-17966929.074848413,-0.85472,2087717049.930472,2087717049.930472,,1.15,-13.24324,2025-02-03T02:30:49.959Z,0.940377,6.21895,2024-12-05T22:30:51.394Z,0.0,2025-03-12T01:45:28.570Z,0.0,0.0,0.0
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1710013505,0.02418142,2060055285,56,2060055285,75422958,0.02450997,0.02237991,0.00180152,8.04971,110586396.0,5.67264,85985041177.0,85985041177.0,86712634466.0,0.280991,-91.41188,2021-04-19T01:08:21.675Z,0.00191713,1158.74698,2020-03-13T02:29:59.652Z,0.0,2025-03-12T01:45:19.024Z,3.3999993711090934,0.0,339.99993711090934
ethena,ena,Ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,0.390258,2056633918,57,5836147091,341824128,0.422258,0.372062,-0.031999650264624924,-7.57822,-135772647.102602,-6.19286,5285937500.0,15000000000.0,,1.52,-74.34435,2024-04-11T13:15:15.057Z,0.195078,99.60034,2024-09-06T21:04:48.253Z,0.0,2025-03-12T01:45:27.236Z,0.0,0.0,0.0
kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.071549,1848622489,58,1849832171,186420062,0.074601,0.05756,0.01394562,24.20991,336957664.0,22.2905,25826487850.01926,25843387919.2322,28704026601.0,0.207411,-65.49312,2024-08-01T00:40:47.164Z,0.00017105,41742.29573,2022-05-26T14:42:59.316Z,0.0,2025-03-12T01:45:25.532Z,0.0,0.0,0.0
polygon-ecosystem-token,pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.216343,1845495761,59,2228208814,95503945,0.217722,0.200245,0.0159032,7.93415,84357471.0,4.78994,8593857060.241901,10376023854.8978,,1.29,-83.24298,2024-03-13T18:55:06.692Z,0.194083,11.16702,2025-03-11T01:10:51.470Z,0.0,2025-03-12T01:45:29.497Z,0.0,0.0,0.0
filecoin,fil,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,2.78,1764137476,60,5375173656,175237776,2.8,2.57,0.200429,7.78259,61559194.0,3.61565,643146167.0,1959610498.0,1959610498.0,236.84,-98.82761,2021-04-01T13:29:41.564Z,2.48,12.08185,2025-03-11T01:10:57.279Z,0.0,2025-03-12T01:45:27.914Z,0.0,0.0,0.0
celestia,tia,Celestia,https://coin-images.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,3.31,1724665819,61,3545743462,129842421,3.3,2.77,0.532596,19.20654,218070923.0,14.47442,537233712.821426,1104499726.027065,,20.85,-84.25872,2024-02-10T14:30:02.495Z,2.08,57.53274,2023-10-31T15:14:31.951Z,0.0,2025-03-12T01:45:28.967Z,0.0,0.0,0.0
fasttoken,ftn,Fasttoken,https://coin-images.coingecko.com/coins/images/28478/large/lightenicon_200x200.png?1696527472,4.0,1717891587,62,3482544517,51252079,4.03,3.96,-0.01450848230731383,-0.36141,7002888.0,0.40931,429525337.0,870742437.0,1000000000.0,4.07,-1.80311,2025-03-04T14:41:31.962Z,0.398142,904.65392,2023-01-21T10:15:39.503Z,0.0,2025-03-12T01:45:29.550Z,0.0,0.0,0.0
cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,3.92,1711344539,63,1711344539,158499084,3.98,3.53,0.381642,10.79098,133731761.0,8.47684,439907807.760177,439920440.15581,,44.45,-91.20277,2022-01-17T00:34:41.497Z,1.16,237.06855,2020-03-13T02:27:44.591Z,0.0,2025-03-12T01:45:25.497Z,38.18314527192966,0.0,3818.314527192966
